"","X","species","SVL","count","abu_cat","lat.range","maxGCD_extant","mean_lat","min_lat","Red.List.status","Order","Family","Genus","hab.cat"
"1100",1100,"Lithodytes lineatus",55.9992035914445,3,3,27.539005141,3335.15646557909,5.37962335891412,-17.3000196974725,"LC","ANURA","LEPTODACTYLIDAE","Lithodytes","low"
"1101",1101,"Litoria angiana",64.9956866257079,NA,3,8.95427438299998,1939.23935413359,-4.99115277629217,-10.7397731924616,"LC","ANURA","HYLIDAE","Litoria","highlow"
"1102",1102,"Litoria aurea",78.6522323629959,175,1,10.585216702,2620.15608471029,-35.8387487400586,-39.0865110124648,"VU","ANURA","HYLIDAE","Litoria","highlow"
"1103",1103,"Litoria becki",38.9974774261937,NA,NA,0.413659569000004,110.714012399039,-5.27207020159585,-5.49165179712698,"VU","ANURA","HYLIDAE","Litoria","highlow"
"1104",1104,"Litoria bicolor",26.0005140882498,NA,NA,16.123082921,2797.20266400833,-13.8455379557618,-22.3068080139905,"LC","ANURA","HYLIDAE","Litoria","highlow"
"1105",1105,"Litoria booroolongensis",45.0008022500761,NA,NA,6.76274599999999,909.389803296222,-33.2807304562708,-35.6869001352601,"CR","ANURA","HYLIDAE","Litoria","highlow"
"1106",1106,"Litoria brevipalmata",43.9956326523377,NA,1,9.47241114500002,1020.40807019334,-30.1094705138939,-33.7166236547008,"EN","ANURA","HYLIDAE","Litoria","low"
"1107",1107,"Litoria castanea",80.00365661419,NA,NA,7.08968699999997,827.397957072131,-34.3067722852093,-37.7172933620773,"CR","ANURA","HYLIDAE","Litoria","highlow"
"1108",1108,"Litoria chloristona",23.6086777377501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1109",1109,"Litoria cooloolensis",24.0075234949216,NA,3,3.037248611,348.509225574866,-25.3553857107489,-28.4017358019575,"EN","ANURA","HYLIDAE","Litoria","low"
"1110",1110,"Litoria daviesae",57.9917698222259,NA,1,1.26955820999996,146.294603056923,-32.0344222342546,-32.1889816384204,"VU","ANURA","HYLIDAE","Litoria","highlow"
"1111",1111,"Litoria eurynastes",29.4053546413314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
